
 --ALL-- 
uint	DoP	DoLP	AoP	ellipticity	intensity	opponentsignal
228	0.0961	0.0944	99.770	0.0180	539643.500125	-0.1459	
232	0.1393	0.1384	97.383	0.0163	540062.256385	-0.2198	
236	0.1880	0.1875	95.681	0.0138	539606.162856	-0.3031	
240	0.2398	0.2395	95.032	0.0131	540990.295275	-0.3907	
244	0.2733	0.2730	94.631	0.0130	539280.473344	-0.4483	
248	0.2698	0.2696	94.622	0.0105	540004.576808	-0.4425	
252	0.2743	0.2739	94.425	0.0156	540982.664318	-0.4503	

 --RED-- 
uint	DoP	DoLP	AoP	ellipticity	intensity	opponentsignal
  0	0.9837	0.9836	1.713	0.0125	90825.088030	2.2159	
  4	0.9817	0.9817	1.821	0.0066	90722.131110	2.2061	
  8	0.9798	0.9796	1.533	0.0174	90816.867281	2.1991	
 12	0.9790	0.9789	1.697	0.0044	90545.479304	2.1947	
 16	0.9797	0.9796	1.614	0.0121	90851.950268	2.1984	
 20	0.9767	0.9767	1.586	0.0098	90912.031061	2.1855	
 24	0.9704	0.9703	1.728	0.0180	91091.827167	2.1558	
 28	0.9682	0.9681	1.549	0.0091	90830.611826	2.1479	
 32	0.9641	0.9640	1.597	0.0155	90941.238206	2.1297	
 36	0.9631	0.9630	1.732	0.0129	91065.648583	2.1243	
 40	0.9575	0.9574	1.676	0.0138	90704.953895	2.1009	
 44	0.9508	0.9506	1.537	0.0176	90848.703005	2.0739	
 48	0.9428	0.9427	1.743	0.0124	90797.194841	2.0401	
 52	0.9397	0.9396	1.777	0.0114	90625.462522	2.0275	
 56	0.9368	0.9367	1.689	0.0147	90637.714824	2.0165	
 60	0.9275	0.9274	1.617	0.0072	90895.406580	1.9812	
 64	0.9185	0.9185	1.665	0.0117	90829.929199	1.9469	
 68	0.9088	0.9087	1.532	0.0095	90893.337976	1.9117	
 72	0.9024	0.9024	1.569	0.0120	90611.691266	1.8886	
 76	0.8869	0.8867	1.970	0.0208	90734.771173	1.8309	
 80	0.8796	0.8794	1.554	0.0177	90930.002805	1.8089	
 84	0.8675	0.8674	1.480	0.0133	90829.769703	1.7692	
 88	0.8541	0.8539	1.521	0.0179	90691.368673	1.7254	
 92	0.8405	0.8402	1.696	0.0204	90984.233787	1.6817	
 96	0.8253	0.8252	1.756	0.0147	90914.391672	1.6356	
100	0.8178	0.8175	1.708	0.0206	90942.662299	1.6131	
104	0.8018	0.8015	1.801	0.0220	90925.080492	1.5662	
108	0.7893	0.7892	1.505	0.0128	90894.047812	1.5328	
112	0.7682	0.7681	1.590	0.0140	90755.952052	1.4744	
116	0.7582	0.7580	1.685	0.0181	90777.487426	1.4471	
120	0.7394	0.7391	1.740	0.0228	90571.036176	1.3975	
124	0.7229	0.7226	1.657	0.0226	90972.341334	1.3559	
128	0.6952	0.6950	1.668	0.0193	90966.206400	1.2880	
132	0.6866	0.6864	1.623	0.0186	91006.895496	1.2677	
136	0.6654	0.6650	1.600	0.0247	91013.311750	1.2174	
140	0.6397	0.6393	1.440	0.0223	90753.118710	1.1594	
144	0.6185	0.6183	1.423	0.0156	91206.872348	1.1126	
148	0.5965	0.5963	1.456	0.0160	91018.541949	1.0649	
152	0.5755	0.5752	1.491	0.0191	91062.418722	1.0200	
156	0.5455	0.5450	1.236	0.0221	91135.053597	0.9582	
160	0.5274	0.5269	1.014	0.0232	91045.189906	0.9217	
164	0.5011	0.5002	1.501	0.0299	90901.834723	0.8682	
168	0.4724	0.4719	1.222	0.0213	91142.310020	0.8136	
172	0.4468	0.4463	1.116	0.0210	90827.130086	0.7650	
176	0.4178	0.4170	0.940	0.0262	91035.969309	0.7104	
180	0.3897	0.3886	0.786	0.0282	91112.244133	0.6585	
184	0.3523	0.3517	1.090	0.0197	91173.273342	0.5918	
188	0.3284	0.3275	0.892	0.0240	90946.172443	0.5491	
192	0.2978	0.2967	1.067	0.0254	91222.745528	0.4950	
196	0.2696	0.2683	1.275	0.0267	91432.084584	0.4459	
200	0.2340	0.2328	0.841	0.0233	91175.333744	0.3856	
204	0.1992	0.1979	179.917	0.0231	91059.737213	0.3267	
208	0.1603	0.1581	0.046	0.0268	91151.973944	0.2602	
212	0.1265	0.1242	178.564	0.0239	90808.935476	0.2038	
